Text,pin
"Lyra wakes up drenched in sweat, her heart racing from another intense dream ",description
"She gets out of bed and begins to pace around her small apartment, trying to shake off the lingering feelings of guilt ",actions
"""I'm not that person anymore,"" she whispers to herself, but the words feel hollow ",dialogue
Memories of sailing with her parents as a child begin to resurface in her mind ,exposition
She recalls the thrill of feeling the wind in her hair and the spray of the sea on her face ,description
"Lyra's eyes widen as she remembers the day she fell off the boat, and how her parents had to pull her back to safety ",actions
"""Why didn't I ever go back?"" she asks herself aloud, frustration creeping into her voice ",dialogue
A wave of sadness washes over her as she thinks about abandoning the life she loved ,exposition
"She tries to push away the memories, but they keep coming back like a tide ",description
Lyra's hands begin to shake as she realizes she's been running from her past for too long ,actions
"""What was I so afraid of?"" she asks herself, desperation creeping into her voice ",dialogue
Flashbacks of her childhood on the coast start to play out in her mind like a film reel ,exposition
"She remembers walking along the beach with her parents, collecting seashells and watching the dolphins play ",description
Lyra's eyes lock onto a particularly vivid memory: her mother teaching her how to sail for the first time ,actions
"""I was so proud of myself,"" she says with a smile, but it quickly fades as reality sets in ",dialogue
"The pain and guilt come flooding back, like a storm brewing on the horizon ",exposition
"She tries to hold onto the happy memories, but they're being pulled under by her own self-loathing ",description
Lyra's body tenses up as she realizes how much she's been running from her true desires ,actions
"""What if I never go back?"" she whispers, the words sending a shiver down her spine ",dialogue
"The memories start to shift and blur, like sand being swept away by an incoming tide ",exposition
"She remembers standing on the shore, watching as her parents' boat disappeared over the horizon ",description
"Lyra's heart skips a beat as she realizes what she had done: abandoned them, and the life she loved ",actions
"""Why did I leave?"" she asks herself, anguish etched across her face ",dialogue
"The pain of that decision comes crashing back, like a wave washing over her ",exposition
"Lyra stumbles towards the window, desperate to escape the memories that haunt her ",actions
"She throws open the curtains and steps out onto the balcony, gasping for air ",description
"""I'm not done yet,"" she says with determination, a small spark of hope igniting within her ",dialogue
"The sun beats down on her skin as she takes in the ocean's vast expanse, feeling the call of the sea once more ",exposition
"Lyra closes her eyes and lets the breeze carry away her fears, the memories still swirling but no longer suffocating ",description
"She stands there for a moment, poised between past and present, ready to face whatever comes next ",actions
